1PROG.- EEAMX14A                                       COORDINACION DE COBRANZA                                       PAGINA:      01,,,18/09/2019 14:03,,,,,,,,,,,,,
                    DELEGACION: 06 REGIONAL COLIMA                          SUBDELEGACION: 03 MANZANILLO                             ,,,,,,,,,,,,,,,,
 COBR0603                                                                                                                            ,,,,,,,,,,,,,,,,
                                           PATRONES CON CREDITOS EN R.A.L.E. AL 30 08 2019                                           ,,,,,,,,,,,,,,,,
                                                   C R E D I T O S   P R O P I O S                                                   ,,,,,,,,,,,,,,,,
                                                                                                                                     ,,,,,,,,,,,,,,,,
TOTAL DE LA SUBDELEGACION:,PATRONES:, 374 ,CREDITOS:," 1,609 ",IMPORTE:," 35,050,610.58 ",,,,,,,,,,
"              ACT.ECO:             MODALIDAD(ES): 10....17        TIPO DOCTO(S): 00....89        INCIDENCIA(S): 00,..,55             ",,,,,,,,,,,,,,,,
             IMPORTE:                                          PERIODO:                       ANTIGUEDAD  MAYOR  A:                  ,,,,,,,,,,,,,,,,
                                                                                                                                     ,,,,,,,,,,,,,,,,
REGPATR,MOV,FEC MOV,SECTOR,NUM CRED,CE,PERIODO,TD,FALTA,FEC NOTIF,FEC INC,FEC. INCID.,DIAS,IMPORTE,DEL CONT,SUB CONT,OBSERVACIONES
A48-16606-10,1,09/01/1995,13,149018160,,09/2008,57,12/09/2014,23/12/2014,014,25/05/2015,1558,"81,974.07",40,01,
A48-16606-10,1,09/01/1995,13,149018161,,10/2008,57,12/09/2014,23/12/2014,014,25/05/2015,1558,"93,854.42",40,01,
A48-16606-10,1,09/01/1995,13,149018162,,11/2008,57,12/09/2014,23/12/2014,014,25/05/2015,1558,"89,262.71",40,01,
A48-16606-10,1,09/01/1995,13,149018163,,12/2008,57,12/09/2014,23/12/2014,014,25/05/2015,1558,"96,949.91",40,01,
A48-16606-10,1,09/01/1995,13,149018164,,07/2008,88,12/09/2014,23/12/2014,014,25/05/2015,1558,"27,650.22",40,01,
A48-16606-10,1,09/01/1995,13,149018165,,08/2008,88,12/09/2014,23/12/2014,014,25/05/2015,1558,"27,867.06",40,01,
A48-16606-10,1,09/01/1995,13,149018166,,09/2008,88,12/09/2014,23/12/2014,014,25/05/2015,1558,"32,789.63",40,01,
A48-16606-10,1,09/01/1995,13,149018167,,10/2008,88,12/09/2014,23/12/2014,014,25/05/2015,1558,"37,541.77",40,01,
A48-16606-10,1,09/01/1995,13,149018168,,11/2008,88,12/09/2014,23/12/2014,014,25/05/2015,1558,"35,705.08",40,01,
A48-16606-10,1,09/01/1995,13,149018169,,12/2008,88,12/09/2014,23/12/2014,014,25/05/2015,1558,"38,779.96",40,01,
A48-16606-10,1,09/01/1995,13,149018170,,04/2008,88,12/09/2014,23/12/2014,014,25/05/2015,1558,"32,785.51",40,01,
A48-16606-10,1,09/01/1995,13,149018171,,05/2008,88,12/09/2014,23/12/2014,014,25/05/2015,1558,"41,440.75",40,01,
A48-16606-10,1,09/01/1995,13,149018172,,06/2008,88,12/09/2014,23/12/2014,014,25/05/2015,1558,"43,961.01",40,01,
A48-16645-10,1,27/09/1995,00,198000618,,04/2017,82,20/05/2019,06/12/2019,023,08/12/2019,18,10.71,,,
A48-16645-10,1,27/09/1995,00,198000625,,01/2017,82,20/05/2019,06/12/2019,023,08/12/2019,18,186.27,,,
A48-16645-10,1,27/09/1995,00,198000634,,05/2017,82,20/05/2019,06/12/2019,023,08/12/2019,18,54.31,,,
A48-16645-10,1,27/09/1995,00,198000639,,02/2017,82,20/05/2019,06/12/2019,023,08/12/2019,18,194.56,,,
A48-16645-10,1,27/09/1995,00,198000646,,06/2017,82,23/05/2019,06/12/2019,023,08/12/2019,18,52.52,,,
A48-16645-10,1,27/09/1995,00,198000654,,03/2017,82,24/05/2019,06/12/2019,023,08/12/2019,18,195.29,,,
A48-16645-10,1,27/09/1995,00,198000759,,05/2017,82,06/04/2019,06/12/2019,023,08/12/2019,18,197.33,,,
A48-16645-10,1,27/09/1995,00,198000661,,07/2017,82,28/05/2019,06/12/2019,023,08/12/2019,18,24.32,,,
A48-16645-10,1,27/09/1995,00,198000571,,06/2016,82,05/06/2019,15/05/2019,023,08/12/2019,18,194.12,,,
A48-16645-10,1,27/09/1995,00,198000671,,08/2017,82,28/05/2019,06/12/2019,023,08/12/2019,18,27.02,,,
