1PROG.- EEAMX14A                                       COORDINACION DE COBRANZA                                       PAGINA:      01,,,18/09/2019 14:03,,,,,,,,,,,,,
                    DELEGACION: 06 REGIONAL COLIMA                          SUBDELEGACION: 03 MANZANILLO                             ,,,,,,,,,,,,,,,,
 COBR0603                                                                                                                            ,,,,,,,,,,,,,,,,
                                           PATRONES CON CREDITOS EN R.A.L.E. AL 30 08 2019                                           ,,,,,,,,,,,,,,,,
                                                   C R E D I T O S   P R O P I O S                                                   ,,,,,,,,,,,,,,,,
                                                                                                                                     ,,,,,,,,,,,,,,,,
TOTAL DE LA SUBDELEGACION:,PATRONES:, 374 ,CREDITOS:," 1,609 ",IMPORTE:," 35,050,610.58 ",,,,,,,,,,
"              ACT.ECO:             MODALIDAD(ES): 10....17        TIPO DOCTO(S): 00....89        INCIDENCIA(S): 00,..,55             ",,,,,,,,,,,,,,,,
             IMPORTE:                                          PERIODO:                       ANTIGUEDAD  MAYOR  A:                  ,,,,,,,,,,,,,,,,
                                                                                                                                     ,,,,,,,,,,,,,,,,
REGPATR,MOV,FEC MOV,SECTOR,NUM CRED,CE,PERIODO,TD,FALTA,FEC NOTIF,FEC INC,FEC. INCID.,DIAS,IMPORTE,DEL CONT,SUB CONT,OBSERVACIONES
A48-19121-10,1,13/07/2000,07,191060408,,07/2019,02,31/07/2019,,000,31/07/2019,30,"7,505.11",,,
A48-19197-10,1,08/01/2000,09,196013666,,03/2019,81,18/07/2019,19/07/2019,032,28/08/2019,2,492.96,,,
A48-19343-10,1,12/06/2000,05,192015411,,07/2019,02,20/08/2019,21/08/2019,002,21/08/2019,9,"2,979.02",,,
A48-19343-10,1,12/06/2000,05,198015411,,07/2019,80,20/08/2019,21/08/2019,002,21/08/2019,9,"1,191.60",,,
A48-19343-10,1,12/06/2000,05,198012942,,06/2019,80,18/07/2019,19/07/2019,031,23/08/2019,7,"1,153.19",,,
A48-19343-10,1,12/06/2000,05,192012942,,06/2019,02,18/07/2019,19/07/2019,031,23/08/2019,7,"2,882.98",,,
A48-19343-10,1,12/06/2000,05,196013667,,03/2019,81,18/07/2019,19/07/2019,031,23/08/2019,7,659.71,,,
A48-19381-10,1,01/02/2001,08,191060425,,07/2019,02,31/07/2019,,000,31/07/2019,30,"1,484.48",,,
A48-19472-10,3,08/01/2009,04,198050177,,03/2019,89,05/03/2019,,013,#0/##/####,18,"1,689.80",,,
A48-19476-10,3,19/02/2014,01,198012315,,05/2019,80,28/06/2019,07/11/2019,023,13/08/2019,17,"1,249.66",,,
A48-19636-10,1,06/01/2001,07,191060451,,07/2019,02,31/07/2019,,000,31/07/2019,30,742.24,,,
A48-19658-10,1,06/01/2001,05,198010569,,04/2019,80,29/05/2019,06/11/2019,023,08/02/2019,28,"2,555.34",,,
A48-19732-10,3,23/12/2015,07,192005027,,02/2019,02,20/03/2019,27/03/2019,052,23/08/2019,7,"7,310.13",,,
A48-19732-10,3,23/12/2015,07,192007829,,03/2019,02,22/04/2019,26/04/2019,052,23/08/2019,7,"11,363.57",,,
A48-19732-10,3,23/12/2015,07,196000432,,06/2018,81,18/01/2019,24/01/2019,023,30/01/2019,212,"2,403.23",,,
A48-19732-10,3,23/12/2015,07,188020560,,10/2018,80,29/11/2018,12/11/2018,023,30/01/2019,212,"4,519.35",,,
A48-19732-10,3,23/12/2015,07,198001262,,12/2018,80,18/01/2019,24/01/2019,023,30/01/2019,212,"4,519.35",,,
A48-19732-10,3,23/12/2015,07,188022671,,11/2018,80,28/12/2018,15/01/2019,023,30/01/2019,212,"4,373.60",,,
A48-19732-10,3,23/12/2015,07,186019780,,05/2018,81,21/11/2018,28/11/2018,023,30/01/2019,212,"2,403.23",,,
A48-19918-10,1,16/10/2001,00,191060472,,07/2019,02,31/07/2019,,000,31/07/2019,30,"22,132.56",,,
A48-20108-10,3,12/08/2018,07,192015413,,07/2019,02,20/08/2019,22/08/2019,002,22/08/2019,8,"1,630.51",,,
A48-20108-10,3,12/08/2018,07,198015413,,07/2019,80,20/08/2019,22/08/2019,002,22/08/2019,8,652.2,,,
A48-20188-10,3,26/04/2018,03,198012946,,06/2019,80,18/07/2019,22/07/2019,031,23/08/2019,7,968.49,,,
A48-20188-10,3,26/04/2018,03,196013673,,03/2019,81,18/07/2019,22/07/2019,031,23/08/2019,7,604.24,,,
A48-20233-10,2,05/02/2019,07,196014311,,03/2019,81,30/07/2019,,009,08/12/2019,18,5.38,,,
A48-20235-10,3,05/08/2019,03,192014811,,06/2019,02,30/07/2019,13/08/2019,008,22/08/2019,8,909.05,,,
A48-20235-10,3,05/08/2019,03,198014811,,06/2019,80,30/07/2019,13/08/2019,008,22/08/2019,8,363.62,,,
A48-20235-10,3,05/08/2019,03,198000887,,03/2019,82,08/01/2019,13/08/2019,002,13/08/2019,17,283.33,,,
A48-20507-10,1,21/10/2002,00,169025623,,06/2013,57,07/12/2016,20/07/2016,052,30/11/2017,638,"15,010.98",,,
A48-20507-10,1,21/10/2002,00,169025624,,07/2013,57,07/12/2016,20/07/2016,052,30/11/2017,638,"20,738.38",,,
A48-20507-10,1,21/10/2002,00,169025625,,08/2013,57,07/12/2016,20/07/2016,052,30/11/2017,638,"20,826.18",,,
A48-20507-10,1,21/10/2002,00,169025626,,09/2013,57,07/12/2016,20/07/2016,052,30/11/2017,638,"20,508.59",,,
A48-20507-10,1,21/10/2002,00,169025627,,10/2013,57,07/12/2016,20/07/2016,052,30/11/2017,638,"20,947.87",,,
A48-20507-10,1,21/10/2002,00,169025628,,11/2013,57,07/12/2016,20/07/2016,052,30/11/2017,638,"19,935.44",,,
A48-20507-10,1,21/10/2002,00,169025629,,12/2013,57,07/12/2016,20/07/2016,052,30/11/2017,638,"21,109.18",,,
A48-20599-10,3,17/06/2017,05,189030970,,06/2018,00,28/06/2018,29/06/2018,052,31/10/2018,303,"167,388.96",,,
A48-20621-10,1,03/03/2003,00,198012322,,05/2019,80,28/06/2019,07/11/2019,023,14/08/2019,16,"19,208.97",,,
A48-20621-10,1,03/03/2003,00,198012948,,06/2019,80,18/07/2019,22/07/2019,023,28/08/2019,2,"19,634.30",,,
A48-20647-10,1,17/03/2003,05,198015417,,07/2019,80,20/08/2019,26/08/2019,002,26/08/2019,4,"14,487.69",,,
A48-20647-10,1,17/03/2003,05,192015417,,07/2019,02,20/08/2019,26/08/2019,002,26/08/2019,4,"36,219.23",,,
A48-20656-10,3,06/02/2015,05,198015418,,07/2019,80,20/08/2019,23/08/2019,002,23/08/2019,7,"1,048.29",,,
A48-20656-10,3,06/02/2015,05,196002233,,06/2018,81,31/01/2019,02/11/2019,023,03/01/2019,182,"1,908.10",,,
A48-20656-10,3,06/02/2015,05,188022060,,11/2018,80,18/12/2018,19/12/2018,023,03/02/2019,181,"2,828.02",,,
A48-20656-10,3,06/02/2015,05,188020569,,10/2018,80,29/11/2018,12/10/2018,023,03/02/2019,181,"2,526.03",,,
A48-20656-10,3,06/02/2015,05,198001270,,12/2018,80,18/01/2019,29/01/2019,023,03/08/2019,175,"1,797.81",,,
A48-20656-10,3,06/02/2015,05,198003779,,01/2019,80,19/02/2019,19/02/2019,023,03/01/2019,182,"1,390.21",,,
A48-20656-10,3,06/02/2015,05,186021288,,05/2018,81,30/11/2018,12/10/2018,023,03/01/2019,182,"2,236.32",,,
A48-20839-10,1,08/11/2003,05,191060561,,07/2019,02,31/07/2019,,000,31/07/2019,30,"1,006.50",,,
A48-20910-10,1,10/06/2003,00,198012951,,06/2019,80,18/07/2019,23/07/2019,032,28/08/2019,2,"24,667.82",,,
A48-20910-10,1,10/06/2003,00,196013676,,03/2019,81,18/07/2019,23/07/2019,032,28/08/2019,2,"16,342.45",,,
A48-20981-10,1,10/02/2003,10,191060579,,07/2019,02,31/07/2019,,000,31/07/2019,30,"2,974.53",,,
A48-21026-10,1,23/01/2004,05,192015419,,07/2019,02,20/08/2019,23/08/2019,002,23/08/2019,7,"11,508.09",,,
A48-21026-10,1,23/01/2004,05,198015419,,07/2019,80,20/08/2019,23/08/2019,002,23/08/2019,7,"4,603.23",,,
A48-21026-10,1,23/01/2004,05,192012952,,06/2019,02,18/07/2019,19/07/2019,031,23/08/2019,7,"11,142.58",,,
A48-21026-10,1,23/01/2004,05,198012952,,06/2019,80,18/07/2019,19/07/2019,031,23/08/2019,7,"4,457.03",,,
A48-21026-10,1,23/01/2004,05,196013677,,03/2019,81,18/07/2019,19/07/2019,031,23/08/2019,7,"2,372.53",,,
A48-21157-10,1,19/04/2004,07,199033101,,01/2017,88,31/07/2019,08/06/2019,002,08/06/2019,24,"1,094.20",,,
A48-21157-10,1,19/04/2004,07,199033102,,02/2017,88,31/07/2019,08/06/2019,002,08/06/2019,24,"3,404.23",,,
A48-21157-10,1,19/04/2004,07,199033103,,03/2017,88,31/07/2019,08/06/2019,002,08/06/2019,24,"3,768.98",,,
A48-21157-10,1,19/04/2004,07,199033104,,04/2017,88,31/07/2019,08/06/2019,002,08/06/2019,24,"3,647.40",,,
A48-21157-10,1,19/04/2004,07,199033105,,05/2017,88,31/07/2019,08/06/2019,002,08/06/2019,24,"3,768.98",,,
A48-21157-10,1,19/04/2004,07,199033106,,06/2017,88,31/07/2019,08/06/2019,002,08/06/2019,24,"3,647.40",,,
A48-21157-10,1,19/04/2004,07,199033107,,07/2017,88,31/07/2019,08/06/2019,002,08/06/2019,24,"3,768.98",,,
A48-21157-10,1,19/04/2004,07,199033108,,08/2017,88,31/07/2019,08/06/2019,002,08/06/2019,24,"3,768.98",,,
A48-21157-10,1,19/04/2004,07,199033109,,09/2017,88,31/07/2019,08/06/2019,002,08/06/2019,24,"3,647.40",,,
A48-21157-10,1,19/04/2004,07,199033110,,10/2017,88,31/07/2019,08/06/2019,002,08/06/2019,24,"3,768.98",,,
A48-21157-10,1,19/04/2004,07,199033111,,11/2017,88,31/07/2019,08/06/2019,002,08/06/2019,24,"3,647.40",,,
A48-21157-10,1,19/04/2004,07,199033112,,12/2017,88,31/07/2019,08/06/2019,002,08/06/2019,24,"3,768.98",,,
A48-21157-10,1,19/04/2004,07,199033113,,01/2018,88,31/07/2019,08/06/2019,002,08/06/2019,24,"3,768.98",,,
A48-21157-10,1,19/04/2004,07,199033114,,02/2018,88,31/07/2019,08/06/2019,002,08/06/2019,24,"3,404.23",,,
A48-21157-10,1,19/04/2004,07,199033115,,03/2018,88,31/07/2019,08/06/2019,002,08/06/2019,24,"3,768.98",,,
A48-21157-10,1,19/04/2004,07,199033116,,04/2018,88,31/07/2019,08/06/2019,002,08/06/2019,24,"3,647.40",,,
A48-21157-10,1,19/04/2004,07,199033117,,05/2018,88,31/07/2019,08/06/2019,002,08/06/2019,24,"3,768.98",,,
A48-21157-10,1,19/04/2004,07,199033118,,06/2018,88,31/07/2019,08/06/2019,002,08/06/2019,24,"3,647.40",,,
A48-21157-10,1,19/04/2004,07,199033119,,07/2018,88,31/07/2019,08/06/2019,002,08/06/2019,24,"2,796.35",,,
A48-21157-10,1,19/04/2004,07,199033120,,07/2019,88,31/07/2019,08/06/2019,002,08/06/2019,24,"1,689.80",,,
A48-21157-10,1,19/04/2004,07,199033121,,01/2017,88,31/07/2019,08/06/2019,002,08/06/2019,24,"1,175.93",,,
A48-21157-10,1,19/04/2004,07,199033122,,02/2017,88,31/07/2019,08/06/2019,002,08/06/2019,24,"1,938.69",,,
A48-21157-10,1,19/04/2004,07,199033123,,03/2017,88,31/07/2019,08/06/2019,002,08/06/2019,24,"1,938.69",,,
A48-21157-10,1,19/04/2004,07,199033124,,04/2017,88,31/07/2019,08/06/2019,002,08/06/2019,24,"1,970.48",,,
A48-21157-10,1,19/04/2004,07,199033125,,05/2017,88,31/07/2019,08/06/2019,002,08/06/2019,24,"1,938.69",,,
A48-21157-10,1,19/04/2004,07,199033126,,06/2017,88,31/07/2019,08/06/2019,002,08/06/2019,24,"1,938.69",,,
A48-21157-10,1,19/04/2004,07,199033127,,01/2018,88,31/07/2019,08/06/2019,002,08/06/2019,24,"1,875.13",,,
A48-21157-10,1,19/04/2004,07,199033128,,02/2018,88,31/07/2019,08/06/2019,002,08/06/2019,24,"1,938.69",,,
A48-21157-10,1,19/04/2004,07,199033129,,03/2018,88,31/07/2019,08/06/2019,002,08/06/2019,24,"1,938.69",,,
A48-21157-10,1,19/04/2004,07,199033130,,04/2018,88,31/07/2019,08/06/2019,002,08/06/2019,24,730.98,,,
A48-21157-10,1,19/04/2004,07,199033132,,01/2017,60,31/07/2019,08/06/2019,002,08/06/2019,24,"2,735.50",,,
A48-21157-10,1,19/04/2004,07,199033133,,02/2017,60,31/07/2019,08/06/2019,002,08/06/2019,24,"8,510.58",,,
A48-21157-10,1,19/04/2004,07,199033134,,03/2017,60,31/07/2019,08/06/2019,002,08/06/2019,24,"9,422.45",,,
A48-21157-10,1,19/04/2004,07,199033135,,04/2017,60,31/07/2019,08/06/2019,002,08/06/2019,24,"9,118.49",,,
A48-21157-10,1,19/04/2004,07,199033136,,05/2017,60,31/07/2019,08/06/2019,002,08/06/2019,24,"9,422.45",,,
A48-21157-10,1,19/04/2004,07,199033137,,06/2017,60,31/07/2019,08/06/2019,002,08/06/2019,24,"9,118.49",,,
A48-21157-10,1,19/04/2004,07,199033138,,07/2017,60,31/07/2019,08/06/2019,002,08/06/2019,24,"9,422.45",,,
A48-21157-10,1,19/04/2004,07,199033139,,08/2017,60,31/07/2019,08/06/2019,002,08/06/2019,24,"9,422.45",,,
A48-21157-10,1,19/04/2004,07,199033140,,09/2017,60,31/07/2019,08/06/2019,002,08/06/2019,24,"9,118.49",,,
A48-21157-10,1,19/04/2004,07,199033141,,10/2017,60,31/07/2019,08/06/2019,002,08/06/2019,24,"9,422.45",,,
A48-21157-10,1,19/04/2004,07,199033142,,11/2017,60,31/07/2019,08/06/2019,002,08/06/2019,24,"9,118.49",,,
A48-21157-10,1,19/04/2004,07,199033143,,12/2017,60,31/07/2019,08/06/2019,002,08/06/2019,24,"9,422.45",,,
A48-21157-10,1,19/04/2004,07,199033144,,01/2018,60,31/07/2019,08/06/2019,002,08/06/2019,24,"9,422.45",,,
A48-21157-10,1,19/04/2004,07,199033145,,02/2018,60,31/07/2019,08/06/2019,002,08/06/2019,24,"8,510.58",,,
A48-21157-10,1,19/04/2004,07,199033146,,03/2018,60,31/07/2019,08/06/2019,002,08/06/2019,24,"9,422.45",,,
A48-21157-10,1,19/04/2004,07,199033147,,04/2018,60,31/07/2019,08/06/2019,002,08/06/2019,24,"9,118.49",,,
A48-21157-10,1,19/04/2004,07,199033148,,05/2018,60,31/07/2019,08/06/2019,002,08/06/2019,24,"9,422.45",,,
A48-21157-10,1,19/04/2004,07,199033149,,06/2018,60,31/07/2019,08/06/2019,002,08/06/2019,24,"9,118.49",,,
A48-21157-10,1,19/04/2004,07,199033150,,07/2018,60,31/07/2019,08/06/2019,002,08/06/2019,24,"6,990.88",,,
A48-21160-10,1,17/07/2006,05,196009930,,02/2019,81,21/05/2019,24/05/2019,023,08/06/2019,24,"2,448.08",,,
A48-21160-10,1,17/07/2006,05,198009132,,04/2019,80,21/05/2019,24/05/2019,023,08/06/2019,24,"2,563.06",,,
A48-21160-10,1,17/07/2006,05,192009132,,04/2019,02,21/05/2019,24/05/2019,005,08/06/2019,24,"4,376.95",,,
A48-21160-10,1,17/07/2006,05,192012953,,06/2019,02,18/07/2019,24/07/2019,005,08/06/2019,24,"5,043.09",,,
A48-21454-10,3,12/01/2013,08,198015421,,07/2019,80,20/08/2019,23/08/2019,002,23/08/2019,7,"1,355.44",,,
A48-21454-10,3,12/01/2013,08,192015421,,07/2019,02,20/08/2019,23/08/2019,002,23/08/2019,7,"3,388.60",,,
A48-21454-10,3,12/01/2013,08,192012956,,06/2019,02,18/07/2019,18/07/2019,031,23/08/2019,7,"3,279.32",,,
A48-21454-10,3,12/01/2013,08,198012956,,06/2019,80,18/07/2019,18/07/2019,031,23/08/2019,7,"1,311.72",,,
A48-21454-10,3,12/01/2013,08,196013679,,03/2019,81,18/07/2019,18/07/2019,031,23/08/2019,7,657.28,,,
A48-21454-10,3,12/01/2013,08,198011791,,05/2019,80,18/06/2019,20/06/2019,032,31/07/2019,30,"1,355.44",,,
A48-21454-10,3,12/01/2013,08,192011791,,05/2019,02,18/06/2019,20/06/2019,032,31/07/2019,30,"3,388.60",,,
A48-21616-10,3,11/01/2008,07,119001710,C,01/2010,60,30/06/2011,07/04/2011,014,22/05/2018,465,"4,178.02",,,
A48-21616-10,3,11/01/2008,07,119001711,C,02/2010,60,30/06/2011,07/04/2011,014,22/05/2018,465,"10,634.95",,,
A48-21616-10,3,11/01/2008,07,119001712,C,03/2010,60,30/06/2011,07/04/2011,014,22/05/2018,465,"11,774.41",,,
A48-21616-10,3,11/01/2008,07,119001713,C,04/2010,60,30/06/2011,07/04/2011,014,22/05/2018,465,"78,595.24",,,
A48-21616-10,3,11/01/2008,07,119001714,C,05/2010,60,30/06/2011,07/04/2011,014,22/05/2018,465,"324,642.51",,,
A48-21616-10,3,11/01/2008,07,119001715,C,06/2010,60,30/06/2011,07/04/2011,014,22/05/2018,465,"381,249.55",,,
A48-21616-10,3,11/01/2008,07,119001716,C,07/2010,60,30/06/2011,07/04/2011,014,22/05/2018,465,"262,788.17",,,
A48-21616-10,3,11/01/2008,07,119001717,C,08/2010,60,30/06/2011,07/04/2011,014,22/05/2018,465,"196,938.55",,,
A48-21616-10,3,11/01/2008,07,119001718,C,02/2008,60,30/06/2011,,014,22/05/2018,465,"14,243.78",,,
A48-21616-10,3,11/01/2008,07,119001719,C,03/2008,60,30/06/2011,,014,22/05/2018,465,"5,483.48",,,
A48-21616-10,3,11/01/2008,07,119001720,C,09/2008,60,30/06/2011,,014,22/05/2018,465,"18,788.71",,,
A48-21616-10,3,11/01/2008,07,119001721,C,10/2008,60,30/06/2011,,014,22/05/2018,465,"29,015.12",,,
A48-21616-10,3,11/01/2008,07,192015422,,07/2019,02,20/08/2019,23/08/2019,002,23/08/2019,7,"13,799.53",,,
A48-21616-10,3,11/01/2008,07,198015422,,07/2019,80,20/08/2019,23/08/2019,002,23/08/2019,7,"5,519.81",,,
A48-21616-10,3,11/01/2008,07,119001723,C,12/2008,60,30/06/2011,,014,22/05/2018,465,"112,804.72",,,
A48-21616-10,3,11/01/2008,07,119001725,C,05/2009,60,30/06/2011,07/04/2011,014,22/05/2018,465,"134,719.20",,,
A48-21616-10,3,11/01/2008,07,119001726,C,06/2009,60,30/06/2011,07/04/2011,014,22/05/2018,465,"60,840.93",,,
A48-21616-10,3,11/01/2008,07,119001727,C,09/2009,60,30/06/2011,07/04/2011,014,22/05/2018,465,"44,644.94",,,
A48-21616-10,3,11/01/2008,07,119001728,C,10/2009,60,30/06/2011,07/04/2011,014,22/05/2018,465,"57,666.39",,,
A48-21616-10,3,11/01/2008,07,119001729,C,11/2009,60,30/06/2011,07/04/2011,014,22/05/2018,465,"27,903.10",,,
A48-21616-10,3,11/01/2008,07,119001730,,02/2008,88,30/06/2011,,014,22/05/2018,465,"5,697.52",,,
A48-21616-10,3,11/01/2008,07,119001731,,03/2008,88,30/06/2011,,014,22/05/2018,465,"2,193.39",,,
A48-21616-10,3,11/01/2008,07,119001732,,09/2008,88,30/06/2011,,014,22/05/2018,465,"7,515.48",,,
A48-21616-10,3,11/01/2008,07,119001733,,10/2008,88,30/06/2011,,014,22/05/2018,465,"11,606.05",,,
A48-21616-10,3,11/01/2008,07,119001735,,12/2008,88,30/06/2011,,014,22/05/2018,465,"45,121.89",,,
A48-21616-10,3,11/01/2008,07,119001736,,04/2009,88,30/06/2011,07/04/2011,014,22/05/2018,465,"52,149.36",,,
A48-21616-10,3,11/01/2008,07,119001737,,05/2009,88,30/06/2011,07/04/2011,014,22/05/2018,465,"53,887.68",,,
A48-21616-10,3,11/01/2008,07,119001738,,06/2009,88,30/06/2011,07/04/2011,014,22/05/2018,465,"24,336.37",,,
A48-21616-10,3,11/01/2008,07,119001740,,09/2009,88,30/06/2011,07/04/2011,014,22/05/2018,465,"17,857.98",,,
A48-21616-10,3,11/01/2008,07,119001741,,10/2009,88,30/06/2011,07/04/2011,014,22/05/2018,465,"23,066.56",,,
A48-21616-10,3,11/01/2008,07,119001743,,01/2010,88,30/06/2011,07/04/2011,014,22/05/2018,465,"1,671.21",,,
A48-21616-10,3,11/01/2008,07,119001744,,02/2010,88,30/06/2011,07/04/2011,014,22/05/2018,465,"4,253.98",,,
A48-21616-10,3,11/01/2008,07,119001745,,03/2010,88,30/06/2011,07/04/2011,014,22/05/2018,465,"4,709.76",,,
A48-21616-10,3,11/01/2008,07,119001746,,04/2010,88,30/06/2011,07/04/2011,014,22/05/2018,465,"31,438.10",,,
A48-21616-10,3,11/01/2008,07,119001747,,05/2010,88,30/06/2011,07/04/2011,014,22/05/2018,465,"129,857.00",,,
A48-21616-10,3,11/01/2008,07,119002447,,11/2008,60,29/08/2011,,014,22/05/2018,465,"21,965.55",,,
A48-21616-10,3,11/01/2008,07,119001748,,06/2010,88,30/06/2011,07/04/2011,014,22/05/2018,465,"152,499.82",,,
A48-21616-10,3,11/01/2008,07,119002448,,04/2009,60,29/08/2011,30/08/2011,014,22/05/2018,465,"130,373.40",,,
A48-21616-10,3,11/01/2008,07,119001749,,07/2010,88,30/06/2011,07/04/2011,014,22/05/2018,465,"105,115.27",,,
A48-21616-10,3,11/01/2008,07,119002449,,11/2008,88,29/08/2011,,014,22/05/2018,465,"8,786.22",,,
A48-21616-10,3,11/01/2008,07,119001750,,08/2010,88,30/06/2011,07/04/2011,014,22/05/2018,465,"78,775.42",,,
A48-21616-10,3,11/01/2008,07,119001756,,02/2008,88,30/06/2011,,014,22/05/2018,465,"1,489.54",,,
A48-21616-10,3,11/01/2008,07,119001758,,05/2008,88,30/06/2011,,014,22/05/2018,465,"5,111.46",,,
A48-21616-10,3,11/01/2008,07,119001759,,06/2008,88,30/06/2011,,014,22/05/2018,465,"14,409.99",,,
A48-21616-10,3,11/01/2008,07,119001760,,01/2009,88,30/06/2011,07/04/2011,014,22/05/2018,465,"13,633.74",,,
A48-21616-10,3,11/01/2008,07,119001761,,02/2009,88,30/06/2011,,014,22/05/2018,465,"20,450.61",,,
A48-21616-10,3,11/01/2008,07,119001762,,05/2009,88,30/06/2011,07/04/2011,014,22/05/2018,465,"10,699.16",,,
A48-21616-10,3,11/01/2008,07,119001763,,06/2009,88,30/06/2011,07/04/2011,014,22/05/2018,465,"2,917.95",,,
A48-21616-10,3,11/01/2008,07,119001764,,01/2010,88,30/06/2011,07/04/2011,014,22/05/2018,465,"1,549.06",,,
A48-21616-10,3,11/01/2008,07,119001765,,02/2010,88,30/06/2011,07/04/2011,014,22/05/2018,465,"9,450.36",,,
A48-21616-10,3,11/01/2008,07,119001766,,03/2010,88,30/06/2011,07/04/2011,014,22/05/2018,465,"73,818.34",,,
A48-21616-10,3,11/01/2008,07,119001767,,04/2010,88,30/06/2011,07/04/2011,014,22/05/2018,465,"48,075.71",,,
A48-21616-10,3,11/01/2008,07,119001768,,11/2009,88,07/01/2011,07/04/2011,014,22/05/2018,465,"11,161.24",,,
A48-21616-10,3,11/01/2008,07,119001769,,03/2008,88,07/01/2011,,014,22/05/2018,465,586.31,,,
A48-21616-10,3,11/01/2008,07,178010570,,05/2017,80,20/06/2017,26/06/2017,023,09/04/2018,360,"3,515.67",,,
A48-21616-10,3,11/01/2008,07,176009883,,02/2017,81,06/08/2017,26/06/2017,023,09/04/2018,360,"4,811.93",,,
A48-21616-10,3,11/01/2008,07,186016986,,04/2018,81,27/09/2018,10/10/2018,023,22/11/2018,281,"2,194.64",,,
A48-21645-10,3,30/04/2015,05,198015423,,07/2019,80,20/08/2019,22/08/2019,002,22/08/2019,8,"1,700.57",,,
A48-21645-10,3,30/04/2015,05,198011793,,05/2019,80,18/06/2019,19/06/2019,023,30/07/2019,31,"1,530.52",,,
A48-21660-10,3,17/01/2017,05,192014816,,06/2019,02,30/07/2019,14/08/2019,008,22/08/2019,8,"1,436.62",,,
A48-21660-10,3,17/01/2017,05,198014816,,06/2019,80,30/07/2019,14/08/2019,008,22/08/2019,8,574.64,,,
A48-21660-10,3,17/01/2017,05,191060672,,07/2019,02,31/07/2019,,000,31/07/2019,30,"1,316.88",,,
A48-21660-10,3,17/01/2017,05,196013682,,03/2019,81,18/07/2019,24/07/2019,031,23/08/2019,7,328.64,,,
A48-21664-10,3,04/04/2018,05,198001280,,12/2018,80,18/01/2019,29/01/2019,023,03/12/2019,171,755.91,,,
A48-21718-10,1,10/01/2005,00,198000807,,05/2019,82,07/03/2019,07/11/2019,023,08/12/2019,18,"29,370.63",,,
A48-21797-10,3,02/01/2012,06,198015424,,07/2019,80,20/08/2019,22/08/2019,002,22/08/2019,8,"1,165.18",,,
A48-21797-10,3,02/01/2012,06,192015424,,07/2019,02,20/08/2019,22/08/2019,002,22/08/2019,8,"2,912.96",,,
A48-21797-10,3,02/01/2012,06,192012328,,05/2019,02,28/06/2019,15/07/2019,032,13/08/2019,17,"3,248.17",,,
A48-21797-10,3,02/01/2012,06,198012328,,05/2019,80,28/06/2019,15/07/2019,032,13/08/2019,17,"1,299.26",,,
A48-21797-10,3,02/01/2012,06,192012959,,06/2019,02,18/07/2019,23/07/2019,031,23/08/2019,7,"3,143.46",,,
A48-21797-10,3,02/01/2012,06,198012959,,06/2019,80,18/07/2019,23/07/2019,031,23/08/2019,7,"1,257.38",,,
A48-21797-10,3,02/01/2012,06,196013684,,03/2019,81,18/07/2019,23/07/2019,031,23/08/2019,7,877.91,,,
A48-21848-10,3,11/01/2006,05,191060693,,07/2019,02,31/07/2019,,000,31/07/2019,30,"28,895.98",,,
A48-21882-10,3,22/01/2013,07,198015425,,07/2019,80,20/08/2019,,009,26/08/2019,4,"10,195.36",,,
A48-21882-10,3,22/01/2013,07,192015425,,07/2019,02,20/08/2019,,009,26/08/2019,4,"25,488.40",,,
A48-21912-10,1,04/03/2006,05,199032564,,05/2019,00,22/05/2019,30/05/2019,031,08/12/2019,18,"25,759.65",,,
A48-21921-10,1,04/06/2006,05,196011124,,02/2019,81,29/05/2019,06/11/2019,023,08/02/2019,28,"1,478.88",,,
A48-21921-10,1,04/06/2006,05,198010578,,04/2019,80,29/05/2019,06/11/2019,023,08/02/2019,28,"2,712.10",,,
A48-21922-10,1,04/03/2006,02,196011125,,02/2019,81,29/05/2019,13/06/2019,023,30/07/2019,31,"1,393.89",,,
A48-21922-10,1,04/03/2006,02,198010579,,04/2019,80,29/05/2019,13/06/2019,023,30/07/2019,31,"2,054.71",,,
A48-21923-10,1,04/06/2006,09,192015426,,07/2019,02,20/08/2019,27/08/2019,002,27/08/2019,3,"5,342.61",,,
A48-21923-10,1,04/06/2006,09,198015426,,07/2019,80,20/08/2019,27/08/2019,002,27/08/2019,3,"2,137.04",,,
A48-21923-10,1,04/06/2006,09,198012961,,06/2019,80,18/07/2019,19/07/2019,031,23/08/2019,7,"2,343.85",,,
A48-21923-10,1,04/06/2006,09,192012961,,06/2019,02,18/07/2019,19/07/2019,031,23/08/2019,7,"5,859.63",,,
A48-21923-10,1,04/06/2006,09,196013686,,03/2019,81,18/07/2019,19/07/2019,031,23/08/2019,7,"1,392.68",,,
A48-21953-10,1,04/12/2006,03,193000861,,06/2019,03,08/01/2019,13/08/2019,002,13/08/2019,17,"2,827.78",,,
A48-21953-10,1,04/12/2006,03,198000861,,06/2019,82,08/01/2019,13/08/2019,002,13/08/2019,17,"1,131.11",,,
A48-21953-10,1,04/12/2006,03,198000888,,03/2019,82,08/01/2019,13/08/2019,002,13/08/2019,17,912.44,,,
A48-22007-10,1,20/07/2006,10,191060719,,07/2019,02,31/07/2019,,000,31/07/2019,30,"3,145.07",,,
